Temp F,Saturation Pressure PSIG
-58,5.93204193
-49,7.90455465
-40,10.39920309
-31,13.51751364
-22,17.33200515
-13,21.98771532
-4,27.58617054
5,34.27240851
14,42.19146693
23,51.47387973
32,62.30819592
41,74.82494943
50,89.22719304
59,105.6744682
68,124.3698278
77,145.5018206
86,169.2589959
95,195.8589101
104,225.5191197
113,258.4571814
122,294.8761479
131,335.0515908
140,379.1865629
149,427.5421321
158,480.3648624
167,537.9448293
176,600.5285969
185,668.4207442
194,741.9113468
203,821.3339913
212,907.0222645
221,999.3677681
230,1098.762104
239,1205.741911
248,1320.887341
257,1445.083124
266,1579.692613
270.14,1643.741262
